物件番号,所在地 建物名,価格,土地面積,建物面積,築年月,物件種別,沿線駅,交通,商号,電話番号
100130621840,神奈川県川崎市⾼津区末⻑２丁⽬,5880万円,63.78㎡,124.00㎡,,新築⼾建,⽥園都市線 溝の⼝,徒歩 19分,（株）トラスト不動産,03-6904-7878
100129444398,神奈川県川崎市⾼津区明津,3980万円,48.48㎡,78.50㎡,2024年（令和 6年） 1⽉,新築⼾建,東横線 元住吉,徒歩 20分,（株）オープンハウス 売却サポート部,03-3400-7794
100129589765,神奈川県川崎市⾼津区下作延５丁⽬,5480万円,50.07㎡,88.87㎡,2024年（令和 6年） 7⽉,新築⼾建,南武線 津⽥⼭,徒歩 8分,（株）サンプラン,045-548-6461
100130609848,神奈川県川崎市⾼津区新作５丁⽬,5200万円,35.58㎡,67.55㎡,2022年（令和 4年） 4⽉,中古⼾建,南武線 武蔵新城,徒歩 4分,（株）ＵＳＴＲＵＳＴ 溝の⼝店,090-8138-5318
100129310466,神奈川県川崎市⾼津区⼆⼦１丁⽬,4980万円,40.39㎡,78.86㎡,2024年（令和 6年） 9⽉,新築⼾建,⼤井町線 ⼆⼦新地,徒歩 7分,フォーライフ（株） 渋⾕店,03-5778-4653
100129310451,神奈川県川崎市⾼津区⼆⼦１丁⽬,4780万円,41.38㎡,81.81㎡,2024年（令和 6年） 9⽉,新築⼾建,⼤井町線 ⼆⼦新地,徒歩 7分,フォーライフ（株） 渋⾕店,03-5778-4653
100129945006,神奈川県川崎市⾼津区下野⽑１丁⽬,3780万円,45.21㎡,86.31㎡,2024年（令和 6年） 8⽉,新築⼾建,⽥園都市線 ⾼津,停歩 4分/バス 6分,フォーライフ（株） ⼤倉⼭店,045-533-3201
100130037584,神奈川県川崎市⾼津区下作延６丁⽬,4380万円,86.72㎡,67.90㎡,2024年（令和 6年）10⽉,新築⼾建,南武線 津⽥⼭,徒歩 5分,東急リバブル（株） 溝ノ⼝センター,044-833-5891
100130399832,神奈川県川崎市⾼津区向ケ丘,4880万円,110.62㎡,89.29㎡,2008年（平成20年） 2⽉,中古⼾建,⽥園都市線 宮崎台,徒歩 15分,三井不動産リアルティ（株）三井のリハウス溝の⼝センター,044-814-3131
100130606207,神奈川県川崎市⾼津区久末,4280万円,53.99㎡,83.41㎡,,新築⼾建,南武線 武蔵中原,停歩 4分/バス 14分,（株）アイム・ユニバース,03-5347-2707
100129288615,神奈川県川崎市⾼津区上作延,3960万円,99.20㎡,77.83㎡,1989年（平成 1年） 2⽉,中古⼾建,⽥園都市線 溝の⼝,徒歩 20分,（株）アース,03-6416-4568
128980119,神奈川県川崎市⾼津区久末,2880万円,55.94㎡,92.89㎡,2005年（平成17年）12⽉,中古⼾建,東横線 ⽇吉,停歩 6分/バス 18分,住友不動産販売（株） ⽇吉営業センター,050-3112-9767
127764495,神奈川県川崎市⾼津区東野川２丁⽬,4080万円,101.78㎡,97.49㎡,2024年（令和 6年） 4⽉,新築⼾建,横浜グリー 東⼭⽥,徒歩 25分,（株）ホームランド 町⽥⽀店,042-732-3577
127764391,神奈川県川崎市⾼津区東野川２丁⽬,3580万円,100.45㎡,97.70㎡,2024年（令和 6年） 4⽉,新築⼾建,横浜グリー 東⼭⽥,徒歩 25分,（株）ホームランド 町⽥⽀店,042-732-3577
128770022,神奈川県川崎市⾼津区末⻑２丁⽬,5500万円,237.74㎡,97.29㎡,2007年（平成19年） 6⽉,中古⼾建,⽥園都市線 梶が⾕,徒歩 15分,（株）ウォーム 溝の⼝中央店,044-455-5420
130598210,神奈川県川崎市⾼津区久末,3370万円,73.84㎡,114.06㎡,2012年（平成24年） 7⽉,中古⼾建,⽥園都市線 鷺沼,停歩 6分/バス 20分,（株）とみん信⽤保証,03-6903-0056
130588083,神奈川県川崎市⾼津区⼦⺟⼝,5980万円,95.89㎡,164.79㎡,1990年（平成 2年） 3⽉,中古⼾建,南武線 武蔵中原,停歩 4分/バス 9分,ＯＫハウス新橋店 （株）曲⼩⼩倉⼯務店,090-7739-2455
127591730,神奈川県川崎市⾼津区上作延４丁⽬,7900万円,218.92㎡,139.66㎡,2012年（平成24年）10⽉,中古⼾建,⽥園都市線 宮崎台,徒歩 15分,（株）川崎中央プランナー,442465831
129528455,神奈川県川崎市⾼津区末⻑２丁⽬,5100万円,97.62㎡,104.92㎡,2013年（平成25年） 9⽉,中古⼾建,⽥園都市線 梶が⾕,徒歩 17分,（株）ウォーム 溝の⼝中央店,044-455-5420
130185188,神奈川県川崎市⾼津区下作延３丁⽬,6280万円,66.13㎡,96.85㎡,2019年（平成31年） 1⽉,中古⼾建,⽥園都市線 梶が⾕,徒歩 13分,積⽔ハウス不動産東京（株）神奈川営業部 横浜営業所,045-414-3377
128925477,神奈川県川崎市⾼津区北⾒⽅２丁⽬,5290万円,62.25㎡,99.47㎡,2024年（令和 6年） 6⽉,新築⼾建,⽥園都市線 ⼆⼦新地,停歩 7分/バス 12分,（株）建新川崎店,044-742-8910
130244499,神奈川県川崎市⾼津区向ケ丘,4780万円,147.23㎡,116.66㎡,1992年（平成 4年） 6⽉,中古⼾建,⽥園都市線 宮崎台,徒歩 13分,（株）ランドネット,03-3986-3601
129539312,神奈川県川崎市⾼津区北⾒⽅１丁⽬,4980万円,51.71㎡,104.28㎡,2024年（令和 6年） 5⽉,新築⼾建,⽥園都市線 ⾼津,バス 3分,⼀建設（株）川崎営業所,080-7599-9028
100129792524,神奈川県川崎市⾼津区久末,2980万円,49.12㎡,89.41㎡,2024年（令和 6年） 7⽉,新築⼾建,南武線 武蔵新城,停歩 7分/バス 10分,フォーライフ（株） ⼤倉⼭店,045-533-3201
100129792526,神奈川県川崎市⾼津区久末,2980万円,49.12㎡,89.41㎡,2024年（令和 6年） 7⽉,新築⼾建,南武線 武蔵新城,停歩 7分/バス 10分,フォーライフ（株） ⼤倉⼭店,045-533-3201
100130096476,神奈川県川崎市⾼津区梶ケ⾕４丁⽬,7480万円,213.47㎡,170.72㎡,1989年（平成 1年） 5⽉,中古⼾建,⽥園都市線 梶が⾕,徒歩 13分,三井不動産リアルティ（株）三井のリハウス鶴⾒センター,045-570-3131
100129223012,神奈川県川崎市⾼津区千年,6930万円,70.41㎡,110.95㎡,2024年（令和 6年）11⽉,新築⼾建,南武線 武蔵新城,徒歩 13分,野村不動産ソリューションズ（株） 町⽥営業部,042-726-8412
100129223011,神奈川県川崎市⾼津区千年,7090万円,70.31㎡,110.95㎡,2024年（令和 6年）11⽉,新築⼾建,南武線 武蔵新城,徒歩 13分,野村不動産ソリューションズ（株） 町⽥営業部,042-726-8412
100129223010,神奈川県川崎市⾼津区千年,6790万円,70.73㎡,112.20㎡,2024年（令和 6年）11⽉,新築⼾建,南武線 武蔵新城,徒歩 13分,野村不動産ソリューションズ（株） 町⽥営業部,042-726-8412
100129223005,神奈川県川崎市⾼津区千年,6790万円,70.11㎡,112.20㎡,2024年（令和 6年）11⽉,新築⼾建,南武線 武蔵新城,徒歩 13分,野村不動産ソリューションズ（株） 町⽥営業部,042-726-8412
100129223004,神奈川県川崎市⾼津区千年,7490万円,70.05㎡,129.99㎡,2024年（令和 6年）11⽉,新築⼾建,南武線 武蔵新城,徒歩 13分,野村不動産ソリューションズ（株） 町⽥営業部,042-726-8412
100129176656,神奈川県川崎市⾼津区千年,7390万円,70.24㎡,120.05㎡,2024年（令和 6年）11⽉,新築⼾建,南武線 武蔵新城,徒歩 13分,野村不動産ソリューションズ（株） 町⽥営業部,042-726-8412
100129176654,神奈川県川崎市⾼津区千年,6930万円,70.03㎡,110.95㎡,2024年（令和 6年）11⽉,新築⼾建,南武線 武蔵新城,徒歩 13分,野村不動産ソリューションズ（株） 町⽥営業部,042-726-8412
100128863078,神奈川県川崎市⾼津区⼦⺟⼝,4780万円,93.66㎡,78.06㎡,2024年（令和 6年） 9⽉,新築⼾建,南武線 武蔵新城,徒歩 21分,（株）ホームランド,045-290-9670
100130537676,神奈川県川崎市⾼津区上作延１丁⽬,6180万円,76.45㎡,89.90㎡,,新築⼾建,南武線 津⽥⼭,徒歩 12分,⼀建設（株） 桜新町営業所,03-5717-3520
130565602,神奈川県川崎市⾼津区久末,4080万円,57.70㎡,101.93㎡,,新築⼾建,南武線 武蔵新城,,（株）インタープラン,045-470-5557
130564985,神奈川県川崎市⾼津区久末,3280万円,137.74㎡,99.56㎡,1991年（平成 3年） 4⽉,中古⼾建,⽥園都市線 溝の⼝,停歩 3分/バス 15分,住友林業ホームサービス（株） ⾃由が丘店,03-5731-7051
130560457,神奈川県川崎市⾼津区北⾒⽅１丁⽬,7980万円,137.58㎡,130.00㎡,2002年（平成14年） 6⽉,中古⼾建,⽥園都市線 ⾼津,徒歩 14分,住友不動産販売（株） 溝の⼝営業センター,050-3112-8322
130560340,神奈川県川崎市⾼津区⼆⼦６丁⽬,5980万円,49.40㎡,85.46㎡,2024年（令和 6年） 2⽉,新築⼾建,⽥園都市線 溝の⼝,徒歩 14分,（株）⽯⽥⼯務店 北野住宅展⽰場,7044842399
130424550,神奈川県川崎市⾼津区新作２丁⽬,5980万円,134.96㎡,107.68㎡,2013年（平成25年） 3⽉,中古⼾建,南武線 武蔵新城,徒歩 24分,リストインターナショナルリアルティ（株） 武蔵⼩杉⽀店,044-711-5330
